,vorname,anzahl,geschlecht,jahr,bezirk
67226,Aaliyah,2,w,2019,friedrichshain-kreuzberg
203927,Aaliyah,2,w,2015,pankow
120336,Aaliyah,2,w,2012,mitte
130958,Aaliyah,2,w,2015,mitte
157124,Aaliyah,4,w,2021,mitte
289107,Aaliyah,3,w,2013,tempelhof-schoeneberg
242304,Aaliyah,3,w,2012,spandau
188553,Aaliyah,4,w,2020,neukoelln
222677,Aaliyah,2,w,2021,pankow
34313,Aaliyah,3,w,2021,charlottenburg-wilmersdorf
285769,Aaliyah,5,w,2012,tempelhof-schoeneberg
316787,Aaliyah,2,w,2020,tempelhof-schoeneberg
48403,Aaliyah,2,w,2014,friedrichshain-kreuzberg
98606,Aaliyah,2,w,2019,lichtenberg
116805,Aaliyah,2,w,2020,marzahn-hellersdorf
109289,Aaliyah,2,w,2013,marzahn-hellersdorf
13804,Aaliyah,3,w,2016,charlottenburg-wilmersdorf
6808,Aaliyah,5,w,2014,charlottenburg-wilmersdorf
295488,Aaliyah,7,w,2015,tempelhof-schoeneberg
166417,Aaliyah,4,w,2012,neukoelln
138686,Aaliyah,2,w,2017,mitte
325991,Aaliyah,4,w,2022,tempelhof-schoeneberg
183077,Aaliyah,2,w,2018,neukoelln
177346,Aaliyah,3,w,2016,neukoelln
152591,Aaliyah,3,w,2020,mitte
246955,Aaliyah,2,w,2014,spandau
354,Aaliyah,4,w,2012,charlottenburg-wilmersdorf
142940,Aaliyah,3,w,2018,mitte
171771,Aaliyah,4,w,2014,neukoelln
75148,Aaliyah,3,w,2021,friedrichshain-kreuzberg
263673,Aaliyah,4,w,2020,spandau
169033,Aaliyah,4,w,2013,neukoelln
299382,Aaliyah,2,w,2016,tempelhof-schoeneberg
123540,Aaliyah,5,w,2013,mitte
263912,Aaliyah,2,w,2020,spandau
38736,Aaliyah,2,w,2022,charlottenburg-wilmersdorf
29899,Aaliyah,7,w,2020,charlottenburg-wilmersdorf
307532,Aaliyah,3,w,2018,tempelhof-schoeneberg
302665,Aaliyah,4,w,2017,tempelhof-schoeneberg
244583,Aaliyah,3,w,2013,spandau
182979,Aaliyah,2,w,2018,neukoelln
275286,Aaliyah,2,w,2014,steglitz-zehlendorf
194216,Aaliyah,2,w,2022,neukoelln
312110,Aaliyah,3,w,2019,tempelhof-schoeneberg
134396,Aaliyah,3,w,2016,mitte
162013,Aaliyah,2,w,2022,mitte
126974,Aaliyah,5,w,2014,mitte
260542,Aaliyah,3,w,2019,spandau
234298,Aaliyah,2,w,2016,reinickendorf
45514,Aaliyah,2,w,2013,friedrichshain-kreuzberg
