,vorname,anzahl,bezirk
0,Aaliyah,24,charlottenburg-wilmersdorf
1,Aaliyah,9,friedrichshain-kreuzberg
2,Aaliyah,2,lichtenberg
3,Aaliyah,4,marzahn-hellersdorf
4,Aaliyah,31,mitte
5,Aaliyah,25,neukoelln
6,Aaliyah,4,pankow
7,Aaliyah,4,reinickendorf
8,Aaliyah,19,spandau
9,Aaliyah,2,steglitz-zehlendorf
10,Aaliyah,37,tempelhof-schoeneberg
11,Aarav,2,pankow
12,Aaron,141,charlottenburg-wilmersdorf
13,Aaron,95,friedrichshain-kreuzberg
14,Aaron,79,lichtenberg
15,Aaron,12,marzahn-hellersdorf
16,Aaron,88,mitte
17,Aaron,42,neukoelln
18,Aaron,125,pankow
19,Aaron,19,reinickendorf
20,Aaron,90,spandau
21,Aaron,32,steglitz-zehlendorf
22,Aaron,133,tempelhof-schoeneberg
23,Aaron,26,treptow-koepenick
24,Abakah,2,mitte
25,Abbas,9,charlottenburg-wilmersdorf
26,Abbas,9,friedrichshain-kreuzberg
27,Abbas,2,lichtenberg
28,Abbas,19,mitte
29,Abbas,14,neukoelln
30,Abbas,2,reinickendorf
31,Abbas,13,tempelhof-schoeneberg
32,Abby,2,neukoelln
33,Abby,8,pankow
34,Abby,2,reinickendorf
35,Abby,2,tempelhof-schoeneberg
36,Abd,2,reinickendorf
37,Abdallah,5,charlottenburg-wilmersdorf
38,Abdallah,2,friedrichshain-kreuzberg
39,Abdallah,4,mitte
40,Abdallah,4,tempelhof-schoeneberg
41,Abdel,2,mitte
42,Abdel,2,neukoelln
43,Abdel,2,tempelhof-schoeneberg
44,Abdelwahab,2,friedrichshain-kreuzberg
45,Abdo,2,mitte
46,Abdou,2,lichtenberg
47,Abdul,6,charlottenburg-wilmersdorf
48,Abdul,2,friedrichshain-kreuzberg
49,Abdul,26,mitte
50,Abdul,4,neukoelln
51,Abdul,2,pankow
52,Abdul,9,spandau
53,Abdul,2,steglitz-zehlendorf
54,Abdul,10,tempelhof-schoeneberg
55,Abdul-Malik,2,mitte
56,Abdul-Rahman,2,friedrichshain-kreuzberg
57,Abdulhaq,2,tempelhof-schoeneberg
58,Abduljalil,2,neukoelln
59,Abdulkadir,4,mitte
60,Abdulkadir,3,tempelhof-schoeneberg
61,Abdulkarim,2,charlottenburg-wilmersdorf
62,Abdullah,18,charlottenburg-wilmersdorf
63,Abdullah,16,friedrichshain-kreuzberg
64,Abdullah,13,lichtenberg
65,Abdullah,52,mitte
66,Abdullah,38,neukoelln
67,Abdullah,6,pankow
68,Abdullah,16,reinickendorf
69,Abdullah,10,spandau
70,Abdullah,42,tempelhof-schoeneberg
71,Abdulmalek,2,lichtenberg
72,Abdulrahman,6,charlottenburg-wilmersdorf
73,Abdulrahman,2,lichtenberg
74,Abdulrahman,6,mitte
75,Abdulrahman,6,neukoelln
76,Abdulrahman,4,reinickendorf
77,Abdulrahman,2,spandau
78,Abdulrahman,4,tempelhof-schoeneberg
79,Abdurahman,2,mitte
80,Abdurrahman,3,charlottenburg-wilmersdorf
81,Abdurrahman,6,friedrichshain-kreuzberg
82,Abdurrahman,7,mitte
83,Abdurrahman,2,neukoelln
84,Abdurrahman,2,reinickendorf
85,Abdurrahman,2,tempelhof-schoeneberg
86,Abed,2,friedrichshain-kreuzberg
87,Abed,3,mitte
88,Abed,2,neukoelln
89,Abel,4,lichtenberg
90,Abel,6,mitte
91,Abel,3,neukoelln
92,Abel,4,pankow
93,Abel,5,spandau
94,Abena,2,mitte
95,Abena,2,neukoelln
96,Abena,2,pankow
97,Abigaela,2,mitte
98,Abigail,6,friedrichshain-kreuzberg
99,Abigail,6,lichtenberg
100,Abigail,4,mitte
101,Abigail,7,pankow
102,Abigail,2,reinickendorf
103,Abigail,6,spandau
104,Abigail,13,tempelhof-schoeneberg
105,Aboubacar,2,lichtenberg
106,Abraham,2,charlottenburg-wilmersdorf
107,Abraham,4,mitte
108,Abraham,4,tempelhof-schoeneberg
109,Abrar,2,lichtenberg
110,Abubakar,4,mitte
111,Acar,2,mitte
112,Acelya,6,mitte
113,Achilleas,2,mitte
114,Achilleas,2,tempelhof-schoeneberg
115,Achilles,2,friedrichshain-kreuzberg
116,Achilles,4,mitte
117,Achilles,2,neukoelln
118,Achilles,2,tempelhof-schoeneberg
119,Achim,2,neukoelln
120,Achim,4,tempelhof-schoeneberg
121,Ada,102,charlottenburg-wilmersdorf
122,Ada,81,friedrichshain-kreuzberg
123,Ada,11,lichtenberg
124,Ada,66,mitte
125,Ada,25,neukoelln
126,Ada,55,pankow
127,Ada,4,reinickendorf
128,Ada,57,spandau
129,Ada,5,steglitz-zehlendorf
130,Ada,103,tempelhof-schoeneberg
131,Ada,6,treptow-koepenick
132,Adam,225,charlottenburg-wilmersdorf
133,Adam,209,friedrichshain-kreuzberg
134,Adam,92,lichtenberg
135,Adam,17,marzahn-hellersdorf
136,Adam,308,mitte
137,Adam,180,neukoelln
138,Adam,132,pankow
139,Adam,67,reinickendorf
140,Adam,131,spandau
