,vorname,anzahl,jahr
0,Aaliyah,18,2012
1,Aaliyah,19,2013
2,Aaliyah,24,2014
3,Aaliyah,11,2015
4,Aaliyah,13,2016
5,Aaliyah,6,2017
6,Aaliyah,12,2018
7,Aaliyah,12,2019
8,Aaliyah,24,2020
9,Aaliyah,12,2021
10,Aaliyah,10,2022
11,Aarav,2,2022
12,Aaron,80,2012
13,Aaron,86,2013
14,Aaron,85,2014
15,Aaron,71,2015
16,Aaron,103,2016
17,Aaron,57,2017
18,Aaron,84,2018
19,Aaron,86,2019
20,Aaron,80,2020
21,Aaron,91,2021
22,Aaron,59,2022
23,Abakah,2,2022
24,Abbas,8,2012
25,Abbas,2,2013
26,Abbas,8,2014
27,Abbas,6,2015
28,Abbas,6,2016
29,Abbas,6,2018
30,Abbas,9,2019
31,Abbas,4,2020
32,Abbas,9,2021
33,Abbas,10,2022
34,Abby,2,2012
35,Abby,2,2013
36,Abby,2,2014
37,Abby,2,2015
38,Abby,2,2016
39,Abby,2,2017
40,Abby,2,2019
41,Abd,2,2018
42,Abdallah,4,2013
43,Abdallah,2,2014
44,Abdallah,2,2016
45,Abdallah,2,2017
46,Abdallah,3,2018
47,Abdallah,2,2021
48,Abdel,4,2012
49,Abdel,2,2016
50,Abdelwahab,2,2013
51,Abdo,2,2012
52,Abdou,2,2019
53,Abdul,8,2012
54,Abdul,14,2014
55,Abdul,6,2015
56,Abdul,2,2016
57,Abdul,6,2017
58,Abdul,5,2018
59,Abdul,8,2019
60,Abdul,4,2020
61,Abdul,4,2021
62,Abdul,4,2022
63,Abdul-malik,2,2019
64,Abdul-rahman,2,2012
65,Abdulhaq,2,2014
66,Abduljalil,2,2017
67,Abdulkadir,3,2013
68,Abdulkadir,2,2019
69,Abdulkadir,2,2020
70,Abdulkarim,2,2017
71,Abdullah,14,2012
72,Abdullah,21,2013
73,Abdullah,18,2014
74,Abdullah,20,2015
75,Abdullah,19,2016
76,Abdullah,20,2017
77,Abdullah,19,2018
78,Abdullah,13,2019
79,Abdullah,25,2020
80,Abdullah,16,2021
81,Abdullah,26,2022
82,Abdulmalek,2,2014
83,Abdulrahman,4,2012
84,Abdulrahman,2,2015
85,Abdulrahman,8,2016
86,Abdulrahman,4,2017
87,Abdulrahman,6,2018
88,Abdulrahman,2,2019
89,Abdulrahman,2,2020
90,Abdulrahman,2,2021
91,Abdurahman,2,2016
92,Abdurrahman,4,2013
93,Abdurrahman,5,2014
94,Abdurrahman,5,2016
95,Abdurrahman,5,2017
96,Abdurrahman,3,2020
97,Abed,3,2013
98,Abed,2,2014
99,Abed,2,2018
100,Abel,2,2015
101,Abel,5,2016
102,Abel,2,2018
103,Abel,4,2019
104,Abel,2,2020
105,Abel,3,2021
106,Abel,4,2022
107,Abena,2,2014
108,Abena,2,2016
109,Abena,2,2018
110,Abigaela,2,2018
111,Abigail,5,2012
112,Abigail,5,2013
113,Abigail,2,2014
114,Abigail,2,2015
115,Abigail,6,2016
116,Abigail,5,2018
117,Abigail,4,2019
118,Abigail,6,2020
119,Abigail,4,2021
120,Abigail,5,2022
121,Aboubacar,2,2022
122,Abraham,2,2013
123,Abraham,2,2015
124,Abraham,4,2016
125,Abraham,2,2017
126,Abrar,2,2020
127,Abubakar,2,2015
128,Abubakar,2,2019
129,Acar,2,2019
130,Acelya,2,2015
131,Acelya,2,2016
132,Acelya,2,2018
133,Achilleas,2,2014
134,Achilleas,2,2022
135,Achilles,4,2012
136,Achilles,2,2014
137,Achilles,2,2016
138,Achilles,2,2017
139,Achim,4,2012
140,Achim,2,2015
141,Ada,37,2012
142,Ada,31,2013
143,Ada,48,2014
144,Ada,45,2015
145,Ada,49,2016
146,Ada,48,2017
147,Ada,51,2018
148,Ada,39,2019
149,Ada,60,2020
150,Ada,53,2021
151,Ada,54,2022
152,Adam,82,2012
153,Adam,102,2013
154,Adam,87,2014
155,Adam,122,2015
156,Adam,161,2016
157,Adam,169,2017
158,Adam,167,2018
159,Adam,188,2019
160,Adam,193,2020
161,Adam,203,2021
162,Adam,229,2022
163,Adamma,2,2015
164,Adar,4,2017
165,Adar,2,2021
166,Adar,2,2022
167,Adea,2,2020
168,Adel,2,2012
169,Adel,2,2013
170,Adel,4,2014
171,Adela,2,2012
172,Adela,2,2014
173,Adela,2,2019
174,Adele,32,2012
175,Adele,20,2013
176,Adele,17,2014
177,Adele,10,2015
178,Adele,18,2016
179,Adele,6,2017
180,Adele,5,2018
181,Adele,13,2019
182,Adele,9,2020
183,Adele,8,2022
184,Adelheid,2,2018
185,Adelia,2,2012
186,Adelia,2,2020
187,Adelina,2,2012
188,Adelina,7,2013
189,Adelina,4,2014
190,Adelina,2,2015
191,Adelina,11,2016
192,Adelina,6,2017
193,Adelina,5,2018
194,Adelina,2,2019
195,Adelina,6,2020
196,Adelina,10,2021
197,Adelina,10,2022
198,Adeline,5,2015
199,Adelisa,3,2012
200,Adem,12,2012
201,Adem,6,2013
202,Adem,13,2014
203,Adem,11,2015
204,Adem,10,2016
205,Adem,9,2017
206,Adem,8,2018
207,Adem,17,2019
208,Adem,9,2020
209,Adem,12,2021
210,Adem,15,2022
211,Adesuwa,2,2015
212,Adib,2,2012
213,Adil,2,2013
214,Adil,2,2014
215,Adil,2,2015
216,Adil,5,2016
217,Adil,3,2019
218,Adile,2,2014
219,Adile,2,2015
220,Adile,2,2021
221,Adin,2,2015
222,Adin,2,2018
223,Adin,2,2020
224,Adin,2,2021
225,Adin,2,2022
226,Adina,2,2013
227,Adina,2,2016
228,Adina,2,2018
229,Adina,2,2021
230,Adis,2,2017
231,Adnan,2,2012
232,Adnan,6,2013
233,Adnan,4,2014
234,Adnan,4,2015
235,Adnan,5,2016
236,Adnan,6,2017
237,Adnan,12,2018
238,Adnan,2,2019
239,Adnan,2,2020
240,Adnan,2,2021
241,Adnan,6,2022
242,Adolf,2,2013
243,Adom,2,2016
244,Adonis,2,2016
245,Adonis,2,2020
246,Adrian,113,2012
247,Adrian,122,2013
248,Adrian,89,2014
249,Adrian,107,2015
250,Adrian,104,2016
251,Adrian,115,2017
252,Adrian,85,2018
253,Adrian,88,2019
254,Adrian,90,2020
255,Adrian,73,2021
256,Adrian,64,2022
257,Adriana,15,2012
258,Adriana,8,2013
259,Adriana,18,2014
260,Adriana,6,2015
261,Adriana,9,2016
262,Adriana,14,2017
263,Adriana,12,2018
264,Adriana,9,2019
265,Adriana,20,2020
266,Adriana,7,2021
267,Adriana,7,2022
268,Adriano,10,2012
269,Adriano,10,2013
270,Adriano,2,2014
271,Adriano,2,2015
272,Adriano,2,2016
273,Adriano,6,2021
274,Adriano,2,2022
275,Adrijan,2,2016
276,Adrijan,2,2018
277,Adrijana,2,2012
278,Adrijana,5,2013
279,Adrijana,3,2014
280,Adrijana,2,2017
281,Adrijana,2,2019
282,Adrina,2,2022
283,Adrián,2,2012
284,Adrián,2,2022
285,Adu,2,2015
286,Advik,2,2017
287,Adèle,2,2018
288,Aeneas,2,2012
289,Aeneas,4,2013
290,Aeneas,2,2014
291,Aeneas,2,2017
292,Afra,2,2016
293,Afra,2,2019
294,Agata,2,2016
295,Agata,2,2019
296,Agata,2,2020
297,Agatha,2,2012
298,Agatha,3,2022
299,Agathe,2,2022
300,Agit,2,2020
301,Agnes,3,2012
302,Agnes,6,2013
303,Agnes,5,2014
304,Agnes,10,2016
305,Agnes,2,2018
306,Agnes,2,2019
307,Agnes,3,2020
308,Agnes,12,2021
309,Agnes,6,2022
310,Agnès,2,2022
311,Ahad,2,2021
312,Ahlam,2,2021
313,Ahmad,24,2012
314,Ahmad,34,2013
315,Ahmad,35,2014
316,Ahmad,46,2015
317,Ahmad,54,2016
318,Ahmad,46,2017
319,Ahmad,64,2018
320,Ahmad,50,2019
321,Ahmad,51,2020
322,Ahmad,23,2021
323,Ahmad,40,2022
324,Ahmed,27,2012
325,Ahmed,35,2013
326,Ahmed,31,2014
327,Ahmed,37,2015
328,Ahmed,38,2016
329,Ahmed,29,2017
330,Ahmed,36,2018
331,Ahmed,15,2019
332,Ahmed,22,2020
333,Ahmed,22,2021
334,Ahmed,19,2022
335,Ahmedova,2,2015
336,Ahmedovna,2,2017
337,Ahmet,24,2012
338,Ahmet,23,2013
339,Ahmet,22,2014
340,Ahmet,24,2015
341,Ahmet,26,2016
342,Ahmet,17,2017
343,Ahmet,13,2018
344,Ahmet,19,2019
345,Ahmet,3,2020
346,Ahmet,15,2021
347,Ahmet,16,2022
348,Ahsen,2,2015
349,Ahsen,4,2018
350,Ahsen,2,2020
351,Ahsen,5,2021
352,Ahu,2,2022
353,Ai,2,2016
354,Aicha,2,2016
355,Aicha,2,2017
356,Aicha,2,2020
357,Aicha,2,2022
358,Aida,2,2015
359,Aida,2,2018
360,Aidan,8,2013
361,Aidan,4,2015
362,Aidan,2,2017
363,Aidan,2,2018
364,Aidan,2,2019
365,Aidan,2,2021
366,Aidan,2,2022
367,Aiden,6,2012
368,Aiden,4,2013
369,Aiden,4,2014
370,Aiden,8,2015
371,Aiden,12,2016
372,Aiden,16,2017
373,Aiden,9,2018
374,Aiden,11,2019
375,Aiden,4,2020
376,Aiden,11,2021
377,Aiden,20,2022
378,Aika,2,2012
379,Aila,2,2017
380,Aila,2,2019
381,Aileen,2,2012
382,Aileen,2,2014
383,Aileen,4,2016
384,Aileen,2,2019
385,Aimee,2,2014
386,Aimé,3,2017
387,Aimé,3,2018
388,Aimée,7,2012
389,Aimée,4,2013
390,Aimée,5,2014
391,Aimée,2,2015
392,Aimée,2,2017
393,Aimée,2,2021
394,Aimée,2,2022
395,Aino,7,2016
396,Aino,3,2017
397,Aino,2,2018
398,Aino,2,2020
399,Aino,3,2022
400,Ainoa,2,2013
401,Aischa,4,2015
402,Aischa,2,2016
403,Aischa,3,2021
404,Aisha,4,2012
405,Aisha,7,2013
406,Aisha,2,2014
407,Aisha,5,2015
408,Aisha,4,2017
409,Aisha,13,2018
410,Aisha,8,2019
411,Aisha,16,2020
412,Aisha,6,2021
413,Aisha,11,2022
414,Aisosa,2,2021
415,Ajan,5,2013
416,Ajan,2,2021
417,Ajan,2,2022
418,Ajdin,2,2014
419,Ajdin,2,2018
420,Ajla,2,2012
421,Ajla,4,2013
422,Ajla,4,2014
423,Ajla,2,2016
424,Ajla,4,2018
425,Ajla,2,2019
426,Ajla,2,2020
427,Ajla,3,2022
428,Ajlin,2,2014
429,Ajna,4,2021
430,Ajna,4,2022
431,Akasya,2,2022
432,Akay,2,2016
433,Akbar,2,2016
434,Aki,2,2013
435,Aki,2,2016
436,Aki,2,2022
437,Akif,4,2012
438,Akif,2,2014
439,Akif,3,2015
440,Akif,2,2016
441,Akif,2,2017
442,Akil,2,2022
443,Akim,2,2016
444,Akim,2,2021
445,Akim,2,2022
446,Akira,2,2017
447,Akira,4,2018
448,Akiva,2,2020
449,Akram,3,2016
450,Akram,3,2017
451,Akram,4,2022
452,Akua,2,2018
453,Al,2,2012
454,Al,3,2013
455,Al,2,2014
456,Al,3,2016
457,Al,2,2020
458,Alaa,2,2012
459,Alaa,2,2016
460,Alain,2,2013
461,Alain,2,2015
462,Alain,4,2016
463,Alan,7,2012
464,Alan,14,2013
465,Alan,13,2014
466,Alan,16,2015
467,Alan,14,2016
468,Alan,11,2017
469,Alan,16,2018
470,Alan,8,2019
471,Alan,15,2020
472,Alan,10,2021
473,Alan,4,2022
474,Alana,2,2014
475,Alana,2,2015
476,Alana,2,2016
477,Alana,4,2020
478,Alana,6,2021
479,Aland,2,2014
480,Alani,2,2016
481,Alara,8,2012
482,Alara,8,2013
483,Alara,3,2014
484,Alara,8,2016
485,Alara,2,2017
486,Alara,6,2018
487,Alara,2,2020
488,Alara,7,2021
489,Alara,11,2022
490,Alaz,3,2018
491,Alaz,2,2022
492,Alba,6,2012
493,Alba,5,2013
494,Alba,4,2014
495,Alba,3,2015
496,Alba,6,2016
497,Alba,2,2018
498,Alba,9,2019
499,Alba,9,2021
500,Alba,11,2022
501,Alban,3,2014
502,Alban,2,2015
503,Albana,2,2015
504,Albaraa,2,2021
505,Albenov,2,2019
506,Albert,38,2012
507,Albert,42,2013
508,Albert,47,2014
509,Albert,50,2015
510,Albert,57,2016
511,Albert,44,2017
512,Albert,37,2018
513,Albert,47,2019
514,Albert,55,2020
515,Albert,32,2021
516,Albert,27,2022
517,Albertine,2,2016
518,Albertine,3,2019
519,Alberto,4,2013
520,Alberto,2,2021
521,Alberto,2,2022
522,Albin,4,2012
523,Albion,2,2016
524,Albion,2,2021
525,Albrecht,4,2012
526,Albrecht,5,2016
527,Albrecht,2,2017
528,Albrecht,2,2018
529,Albrecht,2,2019
530,Albrecht,2,2021
531,Albrecht,2,2022
532,Aldin,2,2020
533,Aldin,2,2021
534,Aldinova,2,2021
535,Alea,5,2012
536,Alea,7,2013
537,Alea,5,2014
538,Alea,6,2015
539,Alea,9,2016
540,Alea,8,2017
541,Alea,14,2018
542,Alea,12,2019
543,Alea,20,2020
544,Alea,25,2021
545,Alea,14,2022
546,Aleah,2,2016
547,Aleandro,2,2016
548,Alec,2,2013
549,Alec,2,2014
550,Alec,2,2017
551,Aleen,2,2014
552,Aleen,2,2021
553,Alejandra,2,2014
554,Alejandra,2,2016
555,Alejandro,8,2012
556,Alejandro,2,2013
557,Alejandro,2,2014
558,Alejandro,2,2015
559,Alejandro,6,2016
560,Alejandro,4,2017
561,Alejandro,2,2018
562,Alejandro,5,2019
563,Alejandro,9,2021
564,Alejandro,2,2022
565,Alejna,2,2017
566,Alejna,2,2021
567,Aleks,3,2014
568,Aleks,2,2018
569,Aleks,3,2020
570,Aleksa,2,2020
571,Aleksandar,8,2012
572,Aleksandar,9,2013
573,Aleksandar,2,2014
574,Aleksandar,10,2015
575,Aleksandar,4,2016
576,Aleksandar,4,2017
577,Aleksandar,4,2018
578,Aleksandar,4,2019
579,Aleksandar,4,2020
580,Aleksandar,4,2021
581,Aleksandar,2,2022
582,Aleksander,2,2012
583,Aleksander,2,2013
584,Aleksander,11,2014
585,Aleksander,7,2015
586,Aleksander,15,2016
587,Aleksander,2,2017
588,Aleksander,10,2018
589,Aleksander,4,2019
590,Aleksander,8,2020
591,Aleksander,16,2021
592,Aleksander,5,2022
593,Aleksandr,2,2013
594,Aleksandr,2,2018
595,Aleksandra,4,2012
596,Aleksandra,5,2013
597,Aleksandra,9,2014
598,Aleksandra,16,2015
599,Aleksandra,4,2017
600,Aleksandra,8,2018
601,Aleksandra,3,2019
602,Aleksandra,5,2020
603,Aleksandra,7,2021
604,Aleksandra,4,2022
605,Aleksandrov,2,2020
606,Aleksandrova,2,2019
607,Aleksandrova,2,2022
608,Aleksandrovič,5,2022
609,Aleksandrovna,2,2014
610,Aleksandrovna,2,2019
611,Aleksandrovna,2,2021
612,Aleksandrovna,2,2022
613,Alekseevič,2,2015
614,Alekseevič,2,2017
615,Alekseevna,2,2018
616,Alekseevna,2,2019
617,Aleksei,2,2022
618,Aleksej,2,2015
619,Aleksej,2,2019
620,Aleksej,2,2021
621,Aleksi,2,2016
622,Aleksiev,2,2019
623,Aleksieva,2,2021
624,Alen,5,2014
625,Alen,2,2015
626,Alen,7,2017
627,Alen,2,2018
628,Alen,3,2020
629,Alen,2,2021
630,Alen,3,2022
631,Alena,8,2012
632,Alena,16,2013
633,Alena,2,2014
634,Alena,2,2015
635,Alena,7,2016
636,Alena,5,2017
637,Alena,6,2018
638,Alena,4,2019
639,Alena,13,2021
640,Alena,4,2022
641,Aleo,2,2021
642,Alesia,2,2013
643,Alesia,2,2019
644,Alesio,2,2021
645,Alessa,4,2012
646,Alessandra,2,2012
647,Alessandra,6,2013
648,Alessandra,2,2014
649,Alessandra,4,2016
650,Alessandra,2,2018
651,Alessandra,2,2020
652,Alessandro,7,2012
653,Alessandro,10,2013
654,Alessandro,13,2014
655,Alessandro,16,2015
656,Alessandro,4,2016
657,Alessandro,2,2018
658,Alessandro,2,2019
659,Alessandro,2,2020
660,Alessandro,4,2021
661,Alessandro,5,2022
662,Alessia,4,2012
663,Alessia,5,2013
664,Alessia,2,2014
665,Alessia,6,2015
666,Alessia,41,2016
667,Alessia,47,2017
668,Alessia,23,2018
669,Alessia,24,2019
670,Alessia,17,2020
671,Alessia,14,2021
672,Alessia,7,2022
673,Alessian,2,2019
674,Alessio,7,2012
675,Alessio,2,2013
676,Alessio,8,2014
677,Alessio,14,2015
678,Alessio,52,2016
679,Alessio,34,2017
680,Alessio,29,2018
681,Alessio,32,2019
682,Alessio,16,2020
683,Alessio,20,2021
684,Alessio,11,2022
685,Alessya,2,2017
